season,ep_no,ep_title,ep_rating
33,19,Girls Just Shauna Have Fun,6.6
33,20,Marge the Meanie,6.7
33,21,Meat Is Murder,6
33,22,Poorhouse Rock,5.8
34,1,Habeas Tortoise,6.5
34,2,One Angry Lisa,6.3
34,3,Lisa the Boy Scout,6.5
34,4,The King of Nice,6.5
34,5,Not It,7.5
34,6,Treehouse of Horror XXXIII,8.3
34,7,From Beer to Paternity,6.4
34,8,Step Brother from the Same Planet,6.4
34,9,When Nelson Met Lisa,5.9
34,10,Game Done Changed,6.6
34,11,Top Goon,6.7
34,12,My Life as a Vlog,5.8
34,13,The Many Saints of Springfield,6.5
34,14,Carl Carlson Rides Again,6
34,15,Bartless,6.6
34,16,Hostile Kirk Place,6
34,17,Pin Gal,6.4
