season,ep_no,ep_title,ep_rating
8,14,The Itchy & Scratchy & Poochie Show,7.9
8,15,Homer's Phobia,8.8
8,16,Brother from Another Series,8.2
8,17,"My Sister, My Sitter",7.9
8,18,Homer vs. the 18th Amendment,8.8
8,19,Grade School Confidential,8.2
8,20,The Canine Mutiny,7.6
8,21,The Old Man and the Lisa,7.9
8,22,In Marge We Trust,8.1
8,23,Homer's Enemy,9.3
8,24,The Simpsons Spin-Off Showcase,7.1
8,25,The Secret War of Lisa Simpson,7.8
9,1,The City of New York vs. Homer Simpson,9
9,2,The Principal and the Pauper,6.9
9,3,Lisa's Sax,8.1
9,4,Treehouse of Horror VIII,8.2
9,5,The Cartridge Family,8.2
9,6,Bart Star,7.7
9,7,The Two Mrs. Nahasapeemapetilons,7.7
9,8,Lisa the Skeptic,8.1
9,9,Realty Bites,7.6
9,10,Miracle on Evergreen Terrace,7.6
9,11,"All Singing, All Dancing",5
9,12,Bart Carny,7.6
9,13,The Joy of Sect,8.3
9,14,Das Bus,8.2
9,15,The Last Temptation of Krust,7.4
9,16,Dumbbell Indemnity,7.6
9,17,Lisa the Simpson,8
9,18,This Little Wiggy,7.8
9,19,Simpson Tide,8.1
9,20,The Trouble with Trillions,7.8
9,21,Girly Edition,7.8
9,22,Trash of the Titans,8.4
9,23,King of the Hill,8.2
9,24,Lost Our Lisa,7.7
9,25,Natural Born Kissers,8
10,1,Lard of the Dance,7.6
10,2,The Wizard of Evergreen Terrace,8.1
10,3,Bart the Mother,7.6
10,4,Treehouse of Horror IX,8
10,5,When You Dish Upon a Star,7.2
10,6,D'oh-in' in the Wind,7.5
10,7,Lisa Gets an 'A',8.1
10,8,Homer Simpson in: 'Kidney Trouble',7.3
10,9,Mayored to the Mob,8.1
10,10,Viva Ned Flanders,7.8
10,11,Wild Barts Can't Be Broken,7.7
10,12,"Sunday, Cruddy Sunday",7
10,13,Homer to the Max,7.7
10,14,I'm with Cupid,7.3
10,15,Marge Simpson in: 'Screaming Yellow Honkers',7.3
10,16,Make Room for Lisa,7.5
10,17,Maximum Homerdrive,7.7
10,18,Simpsons Bible Stories,7.3
10,19,Mom and Pop Art,7.6
10,20,The Old Man and the 'C' Student,7.3
10,21,Monty Can't Buy Me Love,7.1
10,22,They Saved Lisa's Brain,7.3
10,23,Thirty Minutes Over Tokyo,8
11,1,Beyond Blunderdome,7.3
11,2,Brother's Little Helper,7.5
11,3,Guess Who's Coming to Criticize Dinner?,7.6
11,4,Treehouse of Horror X,7.8
11,5,E-I-E-I-(Annoyed Grunt),7.8
11,6,"Hello Gutter, Hello Fadder",7.3
11,7,Eight Misbehavin',7
11,8,"Take My Wife, Sleaze",7.1
11,9,Grift of the Magi,7.3
11,10,Little Big Mom,7.4
11,11,Faith Off,6.8
11,12,The Mansion Family,7.3
11,13,Saddlesore Galactica,6.5
11,14,"Alone Again, Natura-Diddly",7.7
11,15,Missionary: Impossible,7.3
11,16,Pygmoelian,7.3
11,17,Bart to the Future,7.1
11,18,Days of Wine and D'oh'ses,7.4
11,19,Kill the Alligator and Run,6.6
11,20,Last Tap Dance in Springfield,7.1
11,21,"It's a Mad, Mad, Mad, Mad Marge",7.1
11,22,Behind the Laughter,7.9
12,1,Treehouse of Horror XI,7.6
12,2,A Tale of Two Springfields,7.4
12,3,Insane Clown Poppy,7
12,4,Lisa the Treehugger,7.2
12,5,Homer vs. Dignity,7
12,6,The Computer Wore Menace Shoes,7.7
12,7,The Great Money Caper,7.3
